Interaction.pathway1,Interaction.pathway2
GO:0045087,GO:0050853
GO:0000288,GO:0071357
GO:0016569,GO:0034765
GO:0006361,GO:0045087
GO:0006813,GO:0016570
GO:0007127,GO:0060337
GO:0015672,GO:0016570
GO:0016570,GO:0021761
GO:0016570,GO:0051971
GO:0016570,GO:0060047
GO:0071357,GO:0090305
GO:0000288,GO:0034340
GO:0001654,GO:0016569
GO:0002685,GO:0016570
GO:0006325,GO:0016570
GO:0006361,GO:0034340
GO:0006361,GO:0060337
GO:0006363,GO:0016568
GO:0006913,GO:0030879
GO:0007127,GO:0045087
GO:0007586,GO:0016569
GO:0008207,GO:0016570
GO:0009615,GO:0050853
GO:0010948,GO:0045087
GO:0016052,GO:0071357
GO:0016569,GO:0034220
GO:0016570,GO:0045776
GO:0016570,GO:0048568
GO:0016570,GO:0048675
GO:0016570,GO:0051272
GO:0016570,GO:0061025
GO:0035967,GO:0045087
GO:0050853,GO:0071357